,ID,SRM,Name,DateIssued,Measureand,InChI,CertRef,Value,Uncertainty,95low,95high,u,UnitNumerator,UnitDenominator,Mass/Volume,WetDry,Uncertainty.1,k
0,,SRM 1486,Bone Meal,1992-12-18,Calcium,,Cert,26.58,0.24,26.34,26.819999999999997,0.12,%,,,,0.24,2.0
1,,SRM 1486,Bone Meal,1992-12-18,Iron,1S/Fe,Cert,99.0,8.0,91.0,107.0,4.0,ug,g,M,,8.0,2.0
2,,SRM 1486,Bone Meal,1992-12-18,Lead,,Cert,1.335,0.014,1.321,1.349,0.007070707070707071,ug,g,M,,0.014,1.98
3,,SRM 1486,Bone Meal,1992-12-18,Magnesium,,Cert,0.466,0.017,0.449,0.48300000000000004,0.0085,%,,,,0.017,2.0
4,,SRM 1486,Bone Meal,1992-12-18,Phosphorus,,Cert,12.3,0.19,12.110000000000001,12.49,0.095,%,,,,0.19,2.0
5,,SRM 1486,Bone Meal,1992-12-18,Potassium,1S/K,Cert,412.0,4.0,408.0,416.0,2.0,ug,g,M,,4.0,2.0
6,,SRM 1486,Bone Meal,1992-12-18,Strontium,,Cert,264.0,7.0,257.0,271.0,3.1818181818181817,ug,g,M,,7.0,2.2
7,,SRM 1486,Bone Meal,1992-12-18,Zinc,1S/Zn,Cert,147.0,16.0,131.0,163.0,8.0,ug,g,M,,16.0,2.0
8,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"2,4'-DDD","1S/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H",Cert,299.0,4.0,295.0,303.0,2.0,ug,kg,M,,4.0,2.0
9,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"2,4'-DDD","1S/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H",Cert,200.0,3.0,197.0,203.0,1.5,ng,mL,V,,3.0,2.0
10,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"2,4'-DDE",1S/C14H8Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8H,Cert,303.0,3.0,300.0,306.0,1.5,ug,kg,M,,3.0,2.0
11,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"2,4'-DDE",1S/C14H8Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8H,Cert,202.0,2.0,200.0,204.0,1.0,ng,mL,V,,2.0,2.0
12,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"2,4'-DDT","1S/C14H9Cl5/c15-10-7-5-9(6-8-10)13(14(17,18)19)11-3-1-2-4-12(11)16/h1-8,13H",Cert,307.0,3.0,304.0,310.0,1.5,ug,kg,M,,3.0,2.0
13,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"2,4'-DDT","1S/C14H9Cl5/c15-10-7-5-9(6-8-10)13(14(17,18)19)11-3-1-2-4-12(11)16/h1-8,13H",Cert,205.0,3.0,202.0,208.0,1.5,ng,mL,V,,3.0,2.0
14,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"4,4'-DDD","1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",Cert,296.0,3.0,293.0,299.0,1.5,ug,kg,M,,3.0,2.0
15,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"4,4'-DDD","1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",Cert,197.0,2.0,195.0,199.0,1.0,ng,mL,V,,2.0,2.0
16,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"4,4'-DDE",1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,Cert,306.0,3.0,303.0,309.0,1.5,ug,kg,M,,3.0,2.0
17,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"4,4'-DDE",1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,Cert,204.0,2.0,202.0,206.0,1.0,ng,mL,V,,2.0,2.0
18,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"4,4'-DDT","1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",Cert,302.0,3.0,299.0,305.0,1.5,ug,kg,M,,3.0,2.0
19,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,"4,4'-DDT","1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",Cert,202.0,2.0,200.0,204.0,1.0,ng,mL,V,,2.0,2.0
20,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,cis-Chlordane,"1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",Cert,305.0,3.0,302.0,308.0,1.5,ug,kg,M,,3.0,2.0
21,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,cis-Chlordane,"1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",Cert,203.0,2.0,201.0,205.0,1.0,ng,mL,V,,2.0,2.0
22,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Dieldrin,"1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4-,5+,6-,7+,10-,11+",Cert,307.0,4.0,303.0,311.0,2.0,ug,kg,M,,4.0,2.0
23,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Dieldrin,"1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4-,5+,6-,7+,10-,11+",Cert,205.0,3.0,202.0,208.0,1.5,ng,mL,V,,3.0,2.0
24,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,gamma-HCH,"1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",Cert,310.0,2.0,308.0,312.0,1.0,ug,kg,M,,2.0,2.0
25,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,gamma-HCH,"1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",Cert,207.0,2.0,205.0,209.0,1.0,ng,mL,V,,2.0,2.0
26,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Heptachlor,"1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",Cert,299.0,7.0,292.0,306.0,3.5,ug,kg,M,,7.0,2.0
27,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Heptachlor,"1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",Cert,200.0,5.0,195.0,205.0,2.5,ng,mL,V,,5.0,2.0
28,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Heptachlor epoxide,"1S/C10H5Cl7O/c11-3-1-2(4-5(3)18-4)9(15)7(13)6(12)8(1,14)10(9,16)17/h1-5H",Cert,307.0,7.0,300.0,314.0,3.5,ug,kg,M,,7.0,2.0
29,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Heptachlor epoxide,"1S/C10H5Cl7O/c11-3-1-2(4-5(3)18-4)9(15)7(13)6(12)8(1,14)10(9,16)17/h1-5H",Cert,204.0,5.0,199.0,209.0,2.5,ng,mL,V,,5.0,2.0
30,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Hexachlorobenzene,1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,Cert,308.0,2.0,306.0,310.0,1.0,ug,kg,M,,2.0,2.0
31,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Hexachlorobenzene,1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,Cert,205.0,2.0,203.0,207.0,1.0,ng,mL,V,,2.0,2.0
32,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Mirex,"1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",Cert,306.0,3.0,303.0,309.0,1.5,ug,kg,M,,3.0,2.0
33,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,Mirex,"1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",Cert,204.0,2.0,202.0,206.0,1.0,ng,mL,V,,2.0,2.0
34,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,trans-Nonachlor,"1S/C10H5Cl9/c11-3-1-2(4(12)5(3)13)9(17)7(15)6(14)8(1,16)10(9,18)19/h1-5H",Cert,297.0,5.0,292.0,302.0,2.5,ug,kg,M,,5.0,2.0
35,,SRM 1492,Chlorinated Pesticides in Hexane,2008-01-25,trans-Nonachlor,"1S/C10H5Cl9/c11-3-1-2(4(12)5(3)13)9(17)7(15)6(14)8(1,16)10(9,18)19/h1-5H",Cert,198.0,4.0,194.0,202.0,2.0,ng,mL,V,,4.0,2.0
36,,SRM 1566b,Oyster Tissue,2011-02-07,Aluminum,,Cert,197.2,6.0,191.2,203.2,3.0,mg,kg,M,dry,6.0,2.0
37,,SRM 1566b,Oyster Tissue,2011-02-07,Antimony,,Ref,0.011,0.002,0.009,0.013,0.001,mg,kg,M,dry,0.002,2.0
38,,SRM 1566b,Oyster Tissue,2011-02-07,Arsenic,,Cert,7.65,0.65,7.0,8.3,0.325,mg,kg,M,dry,0.65,2.0
39,,SRM 1566b,Oyster Tissue,2011-02-07,Ash,1S/AsH3/h1H3,Ref,3.87,0.09,3.7800000000000002,3.96,0.045,%,,,wet,0.09,2.0
40,,SRM 1566b,Oyster Tissue,2011-02-07,Ash,1S/AsH3/h1H3,Ref,4.05,0.15,3.9,4.2,0.075,%,,,dry,0.15,2.0
41,,SRM 1566b,Oyster Tissue,2011-02-07,Barium,,Ref,8.6,0.3,8.299999999999999,8.9,0.15,mg,kg,M,dry,0.3,2.0
42,,SRM 1566b,Oyster Tissue,2011-02-07,Boron,,Ref,4.5,1.9,2.6,6.4,0.95,mg,kg,M,dry,1.9,2.0
43,,SRM 1566b,Oyster Tissue,2011-02-07,Cadmium,1S/Cd,Cert,2.48,0.08,2.4,2.56,0.04,mg,kg,M,dry,0.08,2.0
44,,SRM 1566b,Oyster Tissue,2011-02-07,Calcium,,Cert,0.0838,0.002,0.0818,0.0858,0.001,%,,,dry,0.002,2.0
45,,SRM 1566b,Oyster Tissue,2011-02-07,Chlorine,,Cert,0.514,0.01,0.504,0.524,0.005,%,,,dry,0.01,2.0
46,,SRM 1566b,Oyster Tissue,2011-02-07,Cobalt,1S/Co,Cert,0.371,0.009,0.362,0.38,0.0045,mg,kg,M,dry,0.009,2.0
47,,SRM 1566b,Oyster Tissue,2011-02-07,Copper,1S/Cu,Cert,71.6,1.6,70.0,73.19999999999999,0.8,mg,kg,M,dry,1.6,2.0
48,,SRM 1566b,Oyster Tissue,2011-02-07,Hydrogen,1S/H2/h1H,Ref,7.2,0.4,6.8,7.6000000000000005,0.2,mg,kg,M,dry,0.4,2.0
49,,SRM 1566b,Oyster Tissue,2011-02-07,Iron,1S/Fe,Cert,205.8,6.8,199.0,212.60000000000002,3.4,mg,kg,M,dry,6.8,2.0
50,,SRM 1566b,Oyster Tissue,2011-02-07,Lead,,Cert,0.308,0.009,0.299,0.317,0.004591836734693877,mg,kg,M,dry,0.009,1.96
51,,SRM 1566b,Oyster Tissue,2011-02-07,Magnesium,,Cert,0.1085,0.0023,0.1062,0.1108,0.00115,%,,,dry,0.0023,2.0
52,,SRM 1566b,Oyster Tissue,2011-02-07,Manganese,1S/Mn,Cert,18.5,0.2,18.3,18.7,0.1,mg,kg,M,dry,0.2,2.0
53,,SRM 1566b,Oyster Tissue,2011-02-07,"Mercury, Total",,Cert,0.0371,0.0013,0.0358,0.038400000000000004,0.00065,mg,kg,M,dry,0.0013,2.0
54,,SRM 1566b,Oyster Tissue,2011-02-07,Methylmercury (as mercury),,Cert,0.0132,0.0007,0.0125,0.0139,0.00035,mg,kg,M,dry,0.0007,2.0
55,,SRM 1566b,Oyster Tissue,2011-02-07,Moisture,,Ref,4.6,3.6,0.9999999999999996,8.2,1.8,%,,,wet,3.6,2.0
56,,SRM 1566b,Oyster Tissue,2011-02-07,Moisture,,Ref,0.0,0.0,0.0,0.0,0.0,%,,,dry,0.0,2.0
57,,SRM 1566b,Oyster Tissue,2011-02-07,Nickel,1S/Ni,Cert,1.04,0.09,0.9500000000000001,1.1300000000000001,0.045,mg,kg,M,dry,0.09,2.0
58,,SRM 1566b,Oyster Tissue,2011-02-07,Nitrogen,,Ref,7.6,0.4,7.199999999999999,8.0,0.2,%,,,dry,0.4,2.0
59,,SRM 1566b,Oyster Tissue,2011-02-07,Potassium,1S/K,Cert,0.652,0.009,0.643,0.661,0.0045,%,,,dry,0.009,2.0
